类目编码,类目名称,终止日期,行业类型,行业类型编码,类目名称英文,父类编码,分级
0,中国上市公司协会上市公司行业分类,,中国上市公司协会上市公司行业分类标准,008001,CAPCO Industry Classification,008,0
A,农、林、牧、渔业,,中国上市公司协会上市公司行业分类标准,008001,"Agriculture, Forestry, Animal Husbandry and Fishery",0,0
A01,农业,,中国上市公司协会上市公司行业分类标准,008001,Agriculture,A,2
A011,谷物种植,,中国上市公司协会上市公司行业分类标准,008001,Grain Planting,A01,3
A012,豆类、油料和薯类种植,,中国上市公司协会上市公司行业分类标准,008001,"Bean, Oil Crops and Potato Planting",A01,3
A013,棉、麻、糖、烟草种植,,中国上市公司协会上市公司行业分类标准,008001,"Cotton, Hemp, Sugar and Tobacco Planting",A01,3
A014,蔬菜、食用菌及园艺作物种植,,中国上市公司协会上市公司行业分类标准,008001,"Vegetables, Edible Fungi and Horticultural Crops Planting",A01,3
A015,水果种植,,中国上市公司协会上市公司行业分类标准,008001,Fruit Planting,A01,3
A016,坚果、含油果、香料和饮料作物种植,,中国上市公司协会上市公司行业分类标准,008001,"Nuts, Oily Fruits, Spices and Beverage Crops Planting",A01,3
A017,中药材种植,,中国上市公司协会上市公司行业分类标准,008001,Traditional Chinese Medicine Planting,A01,3
A018,草种植及割草,,中国上市公司协会上市公司行业分类标准,008001,Grass Planting and Mowing,A01,3
A019,其他农业,,中国上市公司协会上市公司行业分类标准,008001,Other Agriculture,A01,3
A02,林业,,中国上市公司协会上市公司行业分类标准,008001,Forestry,A,2
A021,林木育种和育苗,,中国上市公司协会上市公司行业分类标准,008001,Forest Tree Breeding and Seedling Cultivation,A02,3
A022,造林和更新,,中国上市公司协会上市公司行业分类标准,008001,Afforestation and Regeneration,A02,3
A023,森林经营、管护和改培,,中国上市公司协会上市公司行业分类标准,008001,"Forest Management, Conservation, Improvement and Cultivation",A02,3
A024,木材和竹材采运,,中国上市公司协会上市公司行业分类标准,008001,Timber and Bamboo Harvesting and Transportation,A02,3
A025,林产品采集,,中国上市公司协会上市公司行业分类标准,008001,Forest Product Collection,A02,3
A03,畜牧业,,中国上市公司协会上市公司行业分类标准,008001,Animal Husbandry,A,2
A031,牲畜饲养,,中国上市公司协会上市公司行业分类标准,008001,Livestock Husbandry,A03,3
A032,家禽饲养,,中国上市公司协会上市公司行业分类标准,008001,Poultry Husbandry,A03,3
A033,狩猎和捕捉动物,,中国上市公司协会上市公司行业分类标准,008001,Animal Hunting and Trapping,A03,3
A039,其他畜牧业,,中国上市公司协会上市公司行业分类标准,008001,Other Animal Husbandry,A03,3
A04,渔业,,中国上市公司协会上市公司行业分类标准,008001,Fishery,A,2
A041,水产养殖,,中国上市公司协会上市公司行业分类标准,008001,Aquaculture,A04,3
A042,水产捕捞,,中国上市公司协会上市公司行业分类标准,008001,Aquatic Fishing,A04,3
A05,农、林、牧、渔专业及辅助性活动,,中国上市公司协会上市公司行业分类标准,008001,"Agriculture, Forestry, Animal Husbandry, Fishery and Auxiliary Activities",A,2
A051,农业专业及辅助性活动,,中国上市公司协会上市公司行业分类标准,008001,Agriculture and Auxiliary Activities,A05,3
A052,林业专业及辅助性活动,,中国上市公司协会上市公司行业分类标准,008001,Forestry and Auxiliary Activities,A05,3
A053,畜牧专业及辅助性活动,,中国上市公司协会上市公司行业分类标准,008001,Animal Husbandry and Auxiliary Activities,A05,3
A054,渔业专业及辅助性活动,,中国上市公司协会上市公司行业分类标准,008001,Fishery and Auxiliary Activities,A05,3
B,采矿业,,中国上市公司协会上市公司行业分类标准,008001,Mining,0,0
B06,煤炭开采和洗选业,,中国上市公司协会上市公司行业分类标准,008001,Coal Mining and Dressing,B,2
B061,烟煤和无烟煤开采洗选,,中国上市公司协会上市公司行业分类标准,008001,Bitumite and Anthracite Mining and Dressing,B06,3
B062,褐煤开采洗选,,中国上市公司协会上市公司行业分类标准,008001,Lignite Mining and Dressing,B06,3
B069,其他煤炭采选,,中国上市公司协会上市公司行业分类标准,008001,Other Coal Mining and Dressing,B06,3
B07,石油和天然气开采业,,中国上市公司协会上市公司行业分类标准,008001,Petroleum and Natural Gas Extraction,B,2
B071,石油开采,,中国上市公司协会上市公司行业分类标准,008001,Petroleum Extraction,B07,3
B072,天然气开采,,中国上市公司协会上市公司行业分类标准,008001,Natural Gas Extraction,B07,3
B08,黑色金属矿采选业,,中国上市公司协会上市公司行业分类标准,008001,Ferrous Metals Mining and Dressing,B,2
B081,铁矿采选,,中国上市公司协会上市公司行业分类标准,008001,Iron Ores Mining and Dressing,B08,3
B082,锰矿、铬矿采选,,中国上市公司协会上市公司行业分类标准,008001,Manganese and Chromium Ores Mining and Dressing,B08,3
B089,其他黑色金属矿采选,,中国上市公司协会上市公司行业分类标准,008001,Other Ferrous Metals Mining and Dressing,B08,3
B09,有色金属矿采选业,,中国上市公司协会上市公司行业分类标准,008001,Nonferrous Metals Mining and Dressing,B,2
B091,常用有色金属矿采选,,中国上市公司协会上市公司行业分类标准,008001,Common Nonferrous Metals Mining and Dressing,B09,3
B092,贵金属矿采选,,中国上市公司协会上市公司行业分类标准,008001,Precious Metal Mining and Dressing,B09,3
B093,稀有稀土金属矿采选,,中国上市公司协会上市公司行业分类标准,008001,Rare Earth Metal Mining and Dressing,B09,3
B10,非金属矿采选业,,中国上市公司协会上市公司行业分类标准,008001,Nonmetal Minerals Mining and Dressing,B,2
B101,土砂石开采,,中国上市公司协会上市公司行业分类标准,008001,"Soil, Sand and Stone Mining",B10,3
B102,化学矿开采,,中国上市公司协会上市公司行业分类标准,008001,Chemical Ores Mining,B10,3
B103,采盐,,中国上市公司协会上市公司行业分类标准,008001,Salt Mining,B10,3
B109,石棉及其他非金属矿采选,,中国上市公司协会上市公司行业分类标准,008001,Asbestos and Other Nonmetal Minerals Mining and Dressing,B10,3
B11,开采专业及辅助性活动,,中国上市公司协会上市公司行业分类标准,008001,Mining and Auxiliary Activities,B,2
B111,煤炭开采和洗选专业及辅助性活动,,中国上市公司协会上市公司行业分类标准,008001,Coal Mining and Dressing and Auxiliary Activities,B11,3
B112,石油和天然气开采专业及辅助性活动,,中国上市公司协会上市公司行业分类标准,008001,Petroleum and Natural Gas Extraction and Auxiliary Activities,B11,3
B119,其他开采专业及辅助性活动,,中国上市公司协会上市公司行业分类标准,008001,Other Mining and Auxiliary Activities,B11,3
B12,其他采矿业,,中国上市公司协会上市公司行业分类标准,008001,Other Minerals Mining,B,2
B120,其他采矿业,,中国上市公司协会上市公司行业分类标准,008001,Other Minerals Mining,B12,3
C,制造业,,中国上市公司协会上市公司行业分类标准,008001,Manufacturing,0,0
C13,农副食品加工业,,中国上市公司协会上市公司行业分类标准,008001,Agricultural and Sideline Products Processing,CA,2
C131,谷物磨制,,中国上市公司协会上市公司行业分类标准,008001,Grain Milling,C13,3
C132,饲料加工,,中国上市公司协会上市公司行业分类标准,008001,Feed Processing,C13,3
C133,植物油加工,,中国上市公司协会上市公司行业分类标准,008001,Vegetable Oil Processing,C13,3
C134,制糖业,,中国上市公司协会上市公司行业分类标准,008001,Sugar Refining,C13,3
C135,屠宰及肉类加工,,中国上市公司协会上市公司行业分类标准,008001,Slaughtering and Meat Processing,C13,3
C136,水产品加工,,中国上市公司协会上市公司行业分类标准,008001,Aquatic Product Processing,C13,3
C137,蔬菜、菌类、水果和坚果加工,,中国上市公司协会上市公司行业分类标准,008001,"Vegetable, Fungus, Fruit and Nut Processing",C13,3
C139,其他农副食品加工,,中国上市公司协会上市公司行业分类标准,008001,Other Agricultural and Sideline Food Processing,C13,3
C14,食品制造业,,中国上市公司协会上市公司行业分类标准,008001,Food Manufacturing,CA,2
C141,焙烤食品制造,,中国上市公司协会上市公司行业分类标准,008001,Baking Food Manufacturing,C14,3
C142,糖果、巧克力及蜜饯制造,,中国上市公司协会上市公司行业分类标准,008001,"Candy, Chocolate, and Preserves Manufacturing",C14,3
C143,方便食品制造,,中国上市公司协会上市公司行业分类标准,008001,Convenience Food Manufacturing,C14,3
C144,乳制品制造,,中国上市公司协会上市公司行业分类标准,008001,Dairy Products Manufacturing,C14,3
C145,罐头食品制造,,中国上市公司协会上市公司行业分类标准,008001,Canned Food Manufacturing,C14,3
C146,调味品、发酵制品制造,,中国上市公司协会上市公司行业分类标准,008001,Condiments and Fermented Products Manufacturing,C14,3
C149,其他食品制造,,中国上市公司协会上市公司行业分类标准,008001,Other Food Manufacturing,C14,3
C15,酒、饮料和精制茶制造业,,中国上市公司协会上市公司行业分类标准,008001,"Wine, Beverage and Refined Tea Manufacturing",CA,2
C151,酒的制造,,中国上市公司协会上市公司行业分类标准,008001,Wine Production,C15,3
C152,饮料制造,,中国上市公司协会上市公司行业分类标准,008001,Beverage Manufacturing,C15,3
C153,精制茶加工,,中国上市公司协会上市公司行业分类标准,008001,Refined Tea Processing,C15,3
C16,烟草制品业,,中国上市公司协会上市公司行业分类标准,008001,Tobacco Processing,CA,2
C161,烟叶复烤,,中国上市公司协会上市公司行业分类标准,008001,Tobacco Redrying,C16,3
C162,卷烟制造,,中国上市公司协会上市公司行业分类标准,008001,Cigarette Manufacturing,C16,3
C169,其他烟草制品制造,,中国上市公司协会上市公司行业分类标准,008001,Other Tobacco Processing,C16,3
C17,纺织业,,中国上市公司协会上市公司行业分类标准,008001,Textile,CB,2
C171,棉纺织及印染精加工,,中国上市公司协会上市公司行业分类标准,008001,"Cotton Textile, Dyeing and Finishing",C17,3
C172,毛纺织及染整精加工,,中国上市公司协会上市公司行业分类标准,008001,"Wool Textile, Dyeing and Finishing",C17,3
C173,麻纺织及染整精加工,,中国上市公司协会上市公司行业分类标准,008001,"Linen Textile, Dyeing and Finishing",C17,3
C174,丝绢纺织及印染精加工,,中国上市公司协会上市公司行业分类标准,008001,"Silk Spinning, Dyeing and Finishing",C17,3
C175,化纤织造及印染精加工,,中国上市公司协会上市公司行业分类标准,008001,"Chemical Fiber Weaving, Dyeing and Finishing",C17,3
C176,针织或钩针编织物及其制品制造,,中国上市公司协会上市公司行业分类标准,008001,Knitted or Crocheted Fabrics and Articles Manufacturing,C17,3
C177,家用纺织制成品制造,,中国上市公司协会上市公司行业分类标准,008001,Household Textile Products Manufacturing,C17,3
C178,产业用纺织制成品制造,,中国上市公司协会上市公司行业分类标准,008001,Industrial Textile Products Manufacturing,C17,3
C18,纺织服装、服饰业,,中国上市公司协会上市公司行业分类标准,008001,Textile Garments and Clothing,CB,2
C181,机织服装制造,,中国上市公司协会上市公司行业分类标准,008001,Woven Garment Manufacturing,C18,3
C182,针织或钩针编织服装制造,,中国上市公司协会上市公司行业分类标准,008001,Knitted or Crocheted Garment Manufacturing,C18,3
C183,服饰制造,,中国上市公司协会上市公司行业分类标准,008001,Clothing Manufacturing,C18,3
C19,皮革、毛皮、羽毛及其制品和制鞋业,,中国上市公司协会上市公司行业分类标准,008001,"Leather, Furs, Feather and Relate Products as well as Shoes Manufacturing",CB,2
C191,皮革鞣制加工,,中国上市公司协会上市公司行业分类标准,008001,Leather Tanning Processing,C19,3
C192,皮革制品制造,,中国上市公司协会上市公司行业分类标准,008001,Leather Products Manufacturing,C19,3
C193,毛皮鞣制及制品加工,,中国上市公司协会上市公司行业分类标准,008001,Fur Tanning and Products Processing,C19,3
C194,羽毛(绒)加工及制品制造,,中国上市公司协会上市公司行业分类标准,008001,Feather (Down) Processing and Products Manufacturing,C19,3
C195,制鞋业,,中国上市公司协会上市公司行业分类标准,008001,Shoemaking Industry,C19,3
C20,木材加工和木、竹、藤、棕、草制品业,,中国上市公司协会上市公司行业分类标准,008001,"Timber Processing, Timber, Bamboo, Cane, Palm Fiber and Straw Products Manufacturing",CC,2
C201,木材加工,,中国上市公司协会上市公司行业分类标准,008001,Timber Processing,C20,3
C202,人造板制造,,中国上市公司协会上市公司行业分类标准,008001,Wood-Based Panel Manufacturing,C20,3
C203,木质制品制造,,中国上市公司协会上市公司行业分类标准,008001,Wooden Products Manufacturing,C20,3
C204,竹、藤、棕、草等制品制造,,中国上市公司协会上市公司行业分类标准,008001,"Bamboo, Cane, Palm Fiber, Straw and Other Products Manufacturing",C20,3
C21,家具制造业,,中国上市公司协会上市公司行业分类标准,008001,Furniture Manufacturing,CC,2
C211,木质家具制造,,中国上市公司协会上市公司行业分类标准,008001,Wood Furniture Manufacturing,C21,3
C212,竹、藤家具制造,,中国上市公司协会上市公司行业分类标准,008001,Bamboo and Cane Furniture Manufacturing,C21,3
C213,金属家具制造,,中国上市公司协会上市公司行业分类标准,008001,Metal Furniture Making,C21,3
C214,塑料家具制造,,中国上市公司协会上市公司行业分类标准,008001,Plastic Furniture Manufacturing,C21,3
C219,其他家具制造,,中国上市公司协会上市公司行业分类标准,008001,Other Furniture Manufacturing,C21,3
C22,造纸和纸制品业,,中国上市公司协会上市公司行业分类标准,008001,Papermaking and Paper Products,CD,2
C221,纸浆制造,,中国上市公司协会上市公司行业分类标准,008001,Pulp Manufacturing,C22,3
C222,造纸,,中国上市公司协会上市公司行业分类标准,008001,Papermaking,C22,3
C223,纸制品制造,,中国上市公司协会上市公司行业分类标准,008001,Paper Products Manufacturing,C22,3
C23,印刷和记录媒介复制业,,中国上市公司协会上市公司行业分类标准,008001,Printing and Record Medium Reproduction,CD,2
C231,印刷,,中国上市公司协会上市公司行业分类标准,008001,Printing,C23,3
C232,装订及印刷相关服务,,中国上市公司协会上市公司行业分类标准,008001,Binding and Printing Related Services,C23,3
C233,记录媒介复制,,中国上市公司协会上市公司行业分类标准,008001,Record Medium Reproduction,C23,3
C24,文教、工美、体育和娱乐用品制造业,,中国上市公司协会上市公司行业分类标准,008001,"Cultural, Educational, Arts, Sports and Entertainment Products Manufacturing",CD,2
C241,文教办公用品制造,,中国上市公司协会上市公司行业分类标准,008001,Cultural and Educational Office Supplies Manufacturing,C24,3
C242,乐器制造,,中国上市公司协会上市公司行业分类标准,008001,Musical Instrument Making,C24,3
C243,工艺美术及礼仪用品制造,,中国上市公司协会上市公司行业分类标准,008001,Arts and Crafts and Ceremonial Goods Manufacturing,C24,3
C244,体育用品制造,,中国上市公司协会上市公司行业分类标准,008001,Sporting Goods Manufacturing,C24,3
C245,玩具制造,,中国上市公司协会上市公司行业分类标准,008001,Toy Manufacturing,C24,3
C246,游艺器材及娱乐用品制造,,中国上市公司协会上市公司行业分类标准,008001,Amusement Equipment and Entertainment Products Manufacturing,C24,3
C25,石油、煤炭及其他燃料加工业,,中国上市公司协会上市公司行业分类标准,008001,"Petroleum, Coal, and Other Fuel Processing",CE,2
C251,精炼石油产品制造,,中国上市公司协会上市公司行业分类标准,008001,Refined Petroleum Products Manufacturing,C25,3
C252,煤炭加工,,中国上市公司协会上市公司行业分类标准,008001,Coal Processing,C25,3
C253,核燃料加工,,中国上市公司协会上市公司行业分类标准,008001,Nuclear Fuel Processing,C25,3
C254,生物质燃料加工,,中国上市公司协会上市公司行业分类标准,008001,Biomass Fuel Processing,C25,3
C26,化学原料和化学制品制造业,,中国上市公司协会上市公司行业分类标准,008001,Raw Chemical Materials and Chemical Products Manufacturing,CE,2
C261,基础化学原料制造,,中国上市公司协会上市公司行业分类标准,008001,Basic Chemical Raw Materials Manufacturing,C26,3
C262,肥料制造,,中国上市公司协会上市公司行业分类标准,008001,Fertilizers Manufacturing,C26,3
C263,农药制造,,中国上市公司协会上市公司行业分类标准,008001,Pesticides Manufacturing,C26,3
C264,涂料、油墨、颜料及类似产品制造,,中国上市公司协会上市公司行业分类标准,008001,"Paints, Inks, Pigments and Similar Products Manufacturing",C26,3
C265,合成材料制造,,中国上市公司协会上市公司行业分类标准,008001,Synthetic Materials Manufacturing,C26,3
C266,专用化学产品制造,,中国上市公司协会上市公司行业分类标准,008001,Special Chemical Products Manufacturing,C26,3
C267,炸药、火工及焰火产品制造,,中国上市公司协会上市公司行业分类标准,008001,"Explosives, Pyrotechnics and Fireworks Products Manufacturing",C26,3
C268,日用化学产品制造,,中国上市公司协会上市公司行业分类标准,008001,Daily-use Chemical Products Manufacturing,C26,3
C27,医药制造业,,中国上市公司协会上市公司行业分类标准,008001,Pharmaceutical Manufacturing,CE,2
C271,化学药品原料药制造,,中国上市公司协会上市公司行业分类标准,008001,Chemical Raw Medicine Manufacturing,C27,3
C272,化学药品制剂制造,,中国上市公司协会上市公司行业分类标准,008001,Chemical Drug Preparation Manufacturing,C27,3
C273,中药饮片加工,,中国上市公司协会上市公司行业分类标准,008001,TCM Decoction Pieces Processing,C27,3
C274,中成药生产,,中国上市公司协会上市公司行业分类标准,008001,Chinese Patent Medicine Production,C27,3
C275,兽用药品制造,,中国上市公司协会上市公司行业分类标准,008001,Veterinary Drug Manufacturing,C27,3
C276,生物药品制品制造,,中国上市公司协会上市公司行业分类标准,008001,Biological Drugs and Products Manufacturing,C27,3
C277,卫生材料及医药用品制造,,中国上市公司协会上市公司行业分类标准,008001,Sanitary Materials and Medical Supplies Manufacturing,C27,3
C278,药用辅料及包装材料,,中国上市公司协会上市公司行业分类标准,008001,Pharmaceutical Excipients and Packaging Materials,C27,3
C28,化学纤维制造业,,中国上市公司协会上市公司行业分类标准,008001,Chemical Fiber Manufacturing,CE,2
C281,纤维素纤维原料及纤维制造,,中国上市公司协会上市公司行业分类标准,008001,Cellulose Fiber Raw Materials and Fiber Manufacturing,C28,3
C282,合成纤维制造,,中国上市公司协会上市公司行业分类标准,008001,Synthetic Fiber Manufacturing,C28,3
C283,生物基材料制造,,中国上市公司协会上市公司行业分类标准,008001,Bio-based Materials Manufacturing,C28,3
C29,橡胶和塑料制品业,,中国上市公司协会上市公司行业分类标准,008001,Rubber and Plastic Products Manufacturing,CE,2
C291,橡胶制品业,,中国上市公司协会上市公司行业分类标准,008001,Rubber Products Manufacturing,C29,3
C292,塑料制品业,,中国上市公司协会上市公司行业分类标准,008001,Plastic Products Manufacturing,C29,3
C30,非金属矿物制品业,,中国上市公司协会上市公司行业分类标准,008001,Nonmetal Minerals Products Manufacturing,CF,2
C301,水泥、石灰和石膏制造,,中国上市公司协会上市公司行业分类标准,008001,"Cement, Lime and Plaster Manufacturing",C30,3
C302,石膏、水泥制品及类似制品制造,,中国上市公司协会上市公司行业分类标准,008001,"Plaster, Cement Products and Similar Products Manufacturing",C30,3
C303,砖瓦、石材等建筑材料制造,,中国上市公司协会上市公司行业分类标准,008001,"Brick, Stone and Other Building Materials Manufacturing",C30,3
C304,玻璃制造,,中国上市公司协会上市公司行业分类标准,008001,Glassmaking,C30,3
C305,玻璃制品制造,,中国上市公司协会上市公司行业分类标准,008001,Glassware Manufacturing,C30,3
C306,玻璃纤维和玻璃纤维增强塑料制品制造,,中国上市公司协会上市公司行业分类标准,008001,Glass Fiber and Glass Fiber Reinforced Plastic Products Manufacturing,C30,3
C307,陶瓷制品制造,,中国上市公司协会上市公司行业分类标准,008001,Ceramic Products Manufacturing,C30,3
C308,耐火材料制品制造,,中国上市公司协会上市公司行业分类标准,008001,Refractory Materials Products Manufacturing,C30,3
C309,石墨及其他非金属矿物制品制造,,中国上市公司协会上市公司行业分类标准,008001,Graphite and Other Nonmetal Mineral Products Manufacturing,C30,3
C31,黑色金属冶炼和压延加工业,,中国上市公司协会上市公司行业分类标准,008001,Ferrous Metal Smelting and Pressing,CF,2
C311,炼铁,,中国上市公司协会上市公司行业分类标准,008001,Ironmaking,C31,3
C312,炼钢,,中国上市公司协会上市公司行业分类标准,008001,Steelmaking,C31,3
C313,钢压延加工,,中国上市公司协会上市公司行业分类标准,008001,Steel Rolling Processing,C31,3
C314,铁合金冶炼,,中国上市公司协会上市公司行业分类标准,008001,Ferroalloy Smelting,C31,3
C32,有色金属冶炼和压延加工业,,中国上市公司协会上市公司行业分类标准,008001,Nonferrous Metal Smelting and Pressing,CF,2
C321,常用有色金属冶炼,,中国上市公司协会上市公司行业分类标准,008001,Common Nonferrous Metal Smelting,C32,3
C322,贵金属冶炼,,中国上市公司协会上市公司行业分类标准,008001,Precious Metal Smelting,C32,3
C323,稀有稀土金属冶炼,,中国上市公司协会上市公司行业分类标准,008001,Rare Earth Metal Smelting,C32,3
C324,有色金属合金制造,,中国上市公司协会上市公司行业分类标准,008001,Nonferrous Metal Alloys Manufacturing,C32,3
C325,有色金属压延加工,,中国上市公司协会上市公司行业分类标准,008001,Nonferrous Metal Pressing,C32,3
C33,金属制品业,,中国上市公司协会上市公司行业分类标准,008001,Metal Products,CF,2
C331,结构性金属制品制造,,中国上市公司协会上市公司行业分类标准,008001,Structural Metal Products Manufacturing,C33,3
C332,金属工具制造,,中国上市公司协会上市公司行业分类标准,008001,Metal Tools Manufacturing,C33,3
C333,集装箱及金属包装容器制造,,中国上市公司协会上市公司行业分类标准,008001,Container and Metal Packaging Container Manufacturing,C33,3
C334,金属丝绳及其制品制造,,中国上市公司协会上市公司行业分类标准,008001,Wire Rope and Related Products Manufacturing,C33,3
C335,建筑、安全用金属制品制造,,中国上市公司协会上市公司行业分类标准,008001,Construction and Safety-purposes Metal Products Manufacturing,C33,3
C336,金属表面处理及热处理加工,,中国上市公司协会上市公司行业分类标准,008001,Metal Surface Treatment and Heat Treatment Processing,C33,3
C337,搪瓷制品制造,,中国上市公司协会上市公司行业分类标准,008001,Enamel Products Manufacturing,C33,3
C338,金属制日用品制造,,中国上市公司协会上市公司行业分类标准,008001,Metal Daily Necessities Manufacturing,C33,3
C339,铸造及其他金属制品制造,,中国上市公司协会上市公司行业分类标准,008001,Casting and Other Metal Products Manufacturing,C33,3
